Treatment,Surface_type,Weight,Angle,Distance_1,Distance_2,Distance_3,Distance_avg,Surface_measure
1,Carpet,0,30,48.5,45,43.5,45.67,1
2,Carpet,0,45,37.5,38.5,43.5,39.83,1
3,Carpet,0,15,35.5,39.5,35.5,36.83,1
4,Carpet,10,30,51.5,54,48,51.17,1
5,Carpet,10,45,35.5,33,37,35.17,1
6,Carpet,10,15,28,30.5,31.5,30,1
7,Carpet,20,30,45,54.5,45,48.17,1
8,Carpet,20,45,32.5,31,32.5,32,1
9,Carpet,20,15,41,45,38.5,41.5,1
10,Marble,0,30,201,183,189,191,0
11,Marble,0,45,197.5,197.5,228,207.67,0
12,Marble,0,15,162,168,151.5,160.5,0
13,Marble,10,30,137.5,152.5,126.5,138.83,0
14,Marble,10,45,209.5,202.5,259.5,223.83,0
15,Marble,10,15,158.5,166,147,157.17,0
16,Marble,20,30,257,221.5,262,246.83,0
17,Marble,20,45,220,261.5,227,236.17,0
18,Marble,20,15,165,162,162.5,163.17,0
