Treatment,Surface_type,Weight,Angle,Distance_1,Distance_2,Distance_3,Distance_avg
1,Carpet,0,30,48.5,45.0,43.5,45.67
2,Carpet,0,45,37.5,38.5,43.5,39.83
3,Carpet,0,15,35.5,39.5,35.5,36.83
4,Carpet,10,30,51.5,54.0,48.0,51.17
5,Carpet,10,45,35.5,33.0,37.0,35.17
6,Carpet,10,15,28.0,30.5,31.5,30.00
7,Carpet,20,30,45.0,54.5,45.0,48.17
8,Carpet,20,45,32.5,31.0,32.5,32.00
9,Carpet,20,15,41.0,45.0,38.5,41.50
10,Marble,0,30,201.0,183.0,189.0,191.00
11,Marble,0,45,197.5,197.5,228.0,207.67
12,Marble,0,15,162.0,168.0,151.5,160.50
13,Marble,10,30,137.5,152.5,126.5,138.83
14,Marble,10,45,209.5,202.5,259.5,223.83
15,Marble,10,15,158.5,166.0,147.0,157.17
16,Marble,20,30,257.0,221.5,262.0,246.83
17,Marble,20,45,220.0,261.5,227.0,236.17
18,Marble,20,15,165.0,162.0,162.5,163.17
